"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","150010005","1","0.7","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/02/2021","AQS","150010005","1","1.7","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/03/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/04/2021","AQS","150010005","1","2.6","ug/m3 LC","11","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/05/2021","AQS","150010005","1","1.5","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/06/2021","AQS","150010005","1","0.5","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/07/2021","AQS","150010005","1","1.2","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/08/2021","AQS","150010005","1","4","ug/m3 LC","17","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/09/2021","AQS","150010005","1","1.9","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/10/2021","AQS","150010005","1","1.2","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/11/2021","AQS","150010005","1","0.9","ug/m3 LC","4","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/12/2021","AQS","150010005","1","4.2","ug/m3 LC","18","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/13/2021","AQS","150010005","1","9.3","ug/m3 LC","39","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/14/2021","AQS","150010005","1","3.9","ug/m3 LC","16","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/15/2021","AQS","150010005","1","2.5","ug/m3 LC","10","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/16/2021","AQS","150010005","1","1.9","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/17/2021","AQS","150010005","1","3.3","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/18/2021","AQS","150010005","1","4.8","ug/m3 LC","20","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/19/2021","AQS","150010005","1","2","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/20/2021","AQS","150010005","1","1.1","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/21/2021","AQS","150010005","1","0.8","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/22/2021","AQS","150010005","1","2.4","ug/m3 LC","10","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/23/2021","AQS","150010005","1","0.5","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/24/2021","AQS","150010005","1","1.8","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/25/2021","AQS","150010005","1","0.6","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/26/2021","AQS","150010005","1","2.8","ug/m3 LC","12","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/27/2021","AQS","150010005","1","1.2","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/28/2021","AQS","150010005","1","3.3","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/29/2021","AQS","150010005","1","2.9","ug/m3 LC","12","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/30/2021","AQS","150010005","1","1.8","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/03/2021","AQS","150010005","1","5.2","ug/m3 LC","22","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/04/2021","AQS","150010005","1","3.9","ug/m3 LC","16","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/08/2021","AQS","150010005","1","8.6","ug/m3 LC","36","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/09/2021","AQS","150010005","1","4.3","ug/m3 LC","18","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/10/2021","AQS","150010005","1","2.2","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/11/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/12/2021","AQS","150010005","1","0.6","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/13/2021","AQS","150010005","1","1.1","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/14/2021","AQS","150010005","1","0.2","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/15/2021","AQS","150010005","1","3.4","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/16/2021","AQS","150010005","1","0.5","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/17/2021","AQS","150010005","1","-1.2","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/18/2021","AQS","150010005","1","1.8","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/19/2021","AQS","150010005","1","1.5","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/20/2021","AQS","150010005","1","0.6","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/21/2021","AQS","150010005","1","0.7","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/22/2021","AQS","150010005","1","3.7","ug/m3 LC","15","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/23/2021","AQS","150010005","1","0.9","ug/m3 LC","4","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/24/2021","AQS","150010005","1","1.7","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/25/2021","AQS","150010005","1","2.5","ug/m3 LC","10","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/26/2021","AQS","150010005","1","0.2","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/27/2021","AQS","150010005","1","0.2","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/28/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/01/2021","AQS","150010005","1","1.2","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/02/2021","AQS","150010005","1","3.4","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/03/2021","AQS","150010005","1","2","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/04/2021","AQS","150010005","1","0.3","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/05/2021","AQS","150010005","1","1.6","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/06/2021","AQS","150010005","1","0.1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/07/2021","AQS","150010005","1","0","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/08/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/09/2021","AQS","150010005","1","3.8","ug/m3 LC","16","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/10/2021","AQS","150010005","1","2.6","ug/m3 LC","11","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/11/2021","AQS","150010005","1","1.7","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/12/2021","AQS","150010005","1","2.5","ug/m3 LC","10","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/13/2021","AQS","150010005","1","2.9","ug/m3 LC","12","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/14/2021","AQS","150010005","1","3.8","ug/m3 LC","16","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/15/2021","AQS","150010005","1","5.7","ug/m3 LC","24","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/16/2021","AQS","150010005","1","2","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/17/2021","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/18/2021","AQS","150010005","1","0.5","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/19/2021","AQS","150010005","1","4","ug/m3 LC","17","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/20/2021","AQS","150010005","1","-0.4","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/21/2021","AQS","150010005","1","-0.1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/22/2021","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/23/2021","AQS","150010005","1","1.5","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/24/2021","AQS","150010005","1","2.2","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/25/2021","AQS","150010005","1","5.4","ug/m3 LC","23","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/26/2021","AQS","150010005","1","4.5","ug/m3 LC","19","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/27/2021","AQS","150010005","1","1.9","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/28/2021","AQS","150010005","1","0.8","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/29/2021","AQS","150010005","1","0","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/30/2021","AQS","150010005","1","0","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/31/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/01/2021","AQS","150010005","1","0.5","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/02/2021","AQS","150010005","1","1.2","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/03/2021","AQS","150010005","1","0","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/04/2021","AQS","150010005","1","0.3","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/05/2021","AQS","150010005","1","-0.7","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/06/2021","AQS","150010005","1","-0.1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/07/2021","AQS","150010005","1","1.9","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/08/2021","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/09/2021","AQS","150010005","1","1","ug/m3 LC","4","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/10/2021","AQS","150010005","1","1.9","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/14/2021","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/15/2021","AQS","150010005","1","0.6","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/16/2021","AQS","150010005","1","3.5","ug/m3 LC","15","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/17/2021","AQS","150010005","1","3.2","ug/m3 LC","13","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/18/2021","AQS","150010005","1","3.3","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/19/2021","AQS","150010005","1","4.3","ug/m3 LC","18","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/20/2021","AQS","150010005","1","2","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/21/2021","AQS","150010005","1","3.2","ug/m3 LC","13","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/22/2021","AQS","150010005","1","4.8","ug/m3 LC","20","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/23/2021","AQS","150010005","1","1.5","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/24/2021","AQS","150010005","1","0.7","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/25/2021","AQS","150010005","1","0.2","ug/m3 LC","1","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/26/2021","AQS","150010005","1","3.9","ug/m3 LC","16","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/27/2021","AQS","150010005","1","5.2","ug/m3 LC","22","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/28/2021","AQS","150010005","1","7","ug/m3 LC","29","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/29/2021","AQS","150010005","1","1.8","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"04/30/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"05/12/2021","AQS","150010005","1","1.3","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"05/13/2021","AQS","150010005","1","1.1","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
